地址,入金金额（美元）
bc1qrltfrhrv3ml7t9rdwsfg50x6fhqtfxcq8rsujp,518560.52
bc1qaadrdesdkvgzxcvnm3a9slhxq2093gaycpagqj,395476.04763999995
bc1qhu2atshgxc8symf2dpy3p2hj833n938ugd609f,312764.40540000005
bc1ql8nk7xa8rty4nafu4gdr0ud33khd0ydpy4xuqr,245204.08456
bc1qd56et8yav64ddaezc4m80qj7wnsxcee3r0eyey,223211.7646
bc1q34vkwktltlh20ut2xs2afaytstqgddr49kk2xv,207952.84
bc1qc87cdtr6dn2rn7fyd2g8h95a80296wa0vs4ydg,205366.57084
bc1qemc7ee62nkp7m69k39z8zmtgnm7z7eplqphy7c,183669.60275999998
bc1q5redm89dukrjh5f09kadny2dzxqxv8qwvc26nf,173215.73428
12Y1wTy6hpVwtg14ZdsN49x6csj8ttEzo4,152855.72644
bc1qzludedr48vrx5zjshuph93qg3u6naeg7zvz0km,146889.26499999998
bc1qcgugw6fgxuqclft28nke7et56k20y4qtemzumz,133249.08176
bc1q0ez7xh8vykw5rdvggfzw3pz4nx7k9vmruylqrp,129196.29400000001
bc1qh83aph4xrv63sgtv2zaq64xujxz7lzuwnqgku0,108796.91552
bc1q6ql78vf6kz2z6kv7eagtg6n0znknz0g262p0ra,89107.28976
bc1qf89ty8stjvnt3r7s3rqs49dany0q0qtwtactxc,71931.13712
bc1q00avhn896q56qlssvt6mekg3tc85l2gsleyach,69361.33552
bc1qm3neacgl578gxcy2wl7xdanl3gu9s24prt4gsk,60357.914520000006
13q6sq2yAoWiPRwwUngdqik7WJsAQYGxBH,58435.600080000004
bc1q0ssvzzrqr8y7yd49w78kt68ysdv8g33j0ynjfv,47949.4554
